Data,Time,LabName,WaterTemp,pH,DissolveOxygen,TotalNitrogen,Phosphorus,TotalOrganicCarbons,Phenol,Cyan
20210411,0.875,선유,15.5,7.3,10.1,3.2,0.059,2.6,0,0
20210411,0.875,노량진,15.7,7.4,9.5,3.05,0.05,2,0,0
20210411,0.833333333,탄천,19.1,6.9,5.8,8.22,0.08,4.4,0,0
20210411,0.833333333,중랑천,18.8,7.4,8.8,6.3,0.14,4.7,0,0
20210411,0.833333333,안양천,20.7,6.9,4.8,9.63,0.3,6.1,0,0
20210411,0.833333333,선유,15.5,7.3,9.8,3.12,0.064,2.4,0,0
20210411,0.833333333,노량진,16.1,7.4,9.6,3.025,0.05,2.4,0,0
20210411,0.791666667,탄천,19.5,6.9,6.2,8.02,0.08,4.1,0,0
20210411,0.791666667,중랑천,18.7,7.4,9,6.3,0.14,4.8,0,0
20210411,0.791666667,안양천,21.5,6.9,5.4,8.88,0.285,5.8,0,0
20210411,0.791666667,선유,15.6,7.3,10,3.06,0.061,2.5,0,0
20210411,0.791666667,노량진,16.4,7.5,9.9,2.95,0.048,2.2,0,0
20210411,0.75,탄천,19.8,6.9,6.4,7.66,0.08,4.1,0,0
20210411,0.75,중랑천,18.4,7.4,9.1,5.9,0.12,4.8,0,0
20210411,0.75,안양천,22.1,6.9,5.4,9.7,0.28,6.1,0,0
20210411,0.75,선유,15.7,7.3,10.2,3.02,0.061,2.4,0,0
20210411,0.75,노량진,16.7,7.5,10,3,0.044,2.4,0,0
20210411,0.708333333,탄천,20.1,6.9,6.6,7.6,0.08,4.4,0,0
20210411,0.708333333,중랑천,18,7.3,9,5.9,0.12,4.6,0,0
20210411,0.708333333,안양천,22.4,6.9,5.5,9.61,0.27,5.5,0,0
20210411,0.708333333,선유,15.8,7.3,10.3,3.06,0.06,2.5,0,0
20210411,0.708333333,노량진,16.4,7.4,9.8,3,0.042,2.1,0,0
20210411,0.666666667,탄천,20,6.9,6.6,7.4,0.08,3.9,0,0
20210411,0.666666667,중랑천,17.5,7.3,8.8,5.9,0.12,4.7,0,0
20210411,0.666666667,안양천,22.2,6.9,5.4,9.38,0.26,6,0,0
20210411,0.666666667,선유,15.7,7.3,10.3,3.16,0.06,2.5,0,0
20210411,0.666666667,노량진,16.2,7.4,9.7,2.925,0.042,2.4,0,0
20210411,0.625,탄천,19.6,7,6.7,7.3,0.075,4,0,0
20210411,0.625,중랑천,16.9,7.3,8.5,5.9,0.12,,0,0
20210411,0.625,안양천,21.5,6.9,5.3,9.62,0.215,5.5,0,0
20210411,0.625,선유,15.8,7.3,10.2,3.16,0.06,2.5,0,0
20210411,0.625,노량진,15.9,7.4,9.5,2.975,0.05,2.2,0,0
20210411,0.583333333,탄천,18.7,7,6.7,6.88,0.065,3.8,0,0
20210411,0.583333333,중랑천,16.3,7.3,8.1,5.9,0.12,4.6,0,0
20210411,0.583333333,안양천,20.3,6.9,5.4,9.65,0.245,5.7,0,0
20210411,0.583333333,선유,15.5,7.2,9.9,3.08,0.059,2.5,0,0
20210411,0.583333333,노량진,15.1,7.3,9.2,3.025,0.05,2.2,0,0
20210411,0.541666667,탄천,17.8,7,6.8,6.62,0.065,3.5,0,0
20210411,0.541666667,중랑천,15.9,7.3,7.8,5.9,0.12,5.1,0,0
20210411,0.541666667,안양천,18.9,7,5.6,9.85,0.195,5.7,0,0
20210411,0.541666667,선유,15.2,7.2,9.5,3.12,0.062,2.5,0,0
20210411,0.541666667,노량진,15.1,7.3,9.3,2.95,0.048,2.2,0,0
20210411,0.5,탄천,16.7,7,6.8,6.62,0.065,3.6,0,0
20210411,0.5,중랑천,15.4,7.2,7.5,5.9,0.12,4.6,0,0
20210411,0.5,안양천,17.2,7,5.8,8.84,0.17,5.5,0,0
20210411,0.5,선유,15.1,7.2,9.4,3.08,0.064,2.5,0,0
20210411,0.5,노량진,14.6,7.3,9.1,2.925,0.042,2.3,0,0
20210411,0.458333333,탄천,15.8,7,6.7,6.6,0.06,3.6,0,0
20210411,0.458333333,중랑천,15.2,7.2,7,5.9,0.12,4.5,0,0
20210411,0.458333333,안양천,15.8,7,5.7,10.11,0.155,5.5,0,0
20210411,0.458333333,선유,14.8,7.2,9.2,3.14,0.067,2.5,0,0
20210411,0.458333333,노량진,14.5,7.3,9.1,2.95,0.05,2.2,0,0
20210411,0.416666667,탄천,15.2,7,6.5,6.8,0.075,3.6,0,0
20210411,0.416666667,중랑천,15.1,7.2,6.8,5.7,0.14,4.6,0,0
20210411,0.416666667,안양천,14.9,7,5.2,10.06,0.165,5.5,0,0
20210411,0.416666667,선유,14.8,7.2,9.1,3.16,0.068,2.5,0,0
20210411,0.416666667,노량진,14.4,7.3,9.1,2.9,0.05,2.2,0,0
20210411,0.375,탄천,14.7,7,6.2,6.9,0.065,3.8,0,0
20210411,0.375,중랑천,15.2,7.2,6.5,5.7,0.14,4.5,0,0
20210411,0.375,안양천,14.5,6.9,5.1,10.38,0.16,5.8,0,0
20210411,0.375,선유,14.8,7.2,9,3.14,0.062,2.2,0,0
20210411,0.375,노량진,14.4,7.3,9,2.975,0.048,2.1,0,0
20210411,0.333333333,탄천,14.7,6.9,5.9,7.32,0.075,,0,0
20210411,0.333333333,중랑천,15.5,7.2,6.5,5.7,0.14,4.7,0,0
20210411,0.333333333,안양천,14.4,6.9,5,9.99,0.16,5.5,0,0
20210411,0.333333333,선유,14.7,7.2,8.8,3.06,0.059,2.7,0,0
20210411,0.333333333,노량진,14.5,7.3,9,2.875,0.042,2.2,0,0
20210411,0.291666667,탄천,15,6.9,5.7,7.34,0.08,3.9,0,0
20210411,0.291666667,중랑천,15.9,7.2,6.4,5.7,0.14,4.5,0,0
20210411,0.291666667,안양천,14.6,6.9,5.2,9.61,0.165,5.7,0,0
20210411,0.291666667,선유,14.8,7.2,8.8,3.12,0.065,2.8,0,0
20210411,0.291666667,노량진,14.4,7.3,9,2.975,0.042,2.3,0,0
20210411,0.25,탄천,15.3,6.9,5.6,7.88,0.085,4,0,0
20210411,0.25,중랑천,16.1,7.3,6.6,5.8,0.14,4.5,0,0
20210411,0.25,안양천,14.9,6.9,5.2,9.76,0.155,5.5,0,0
20210411,0.25,선유,14.8,7.2,8.9,3.12,0.063,2.2,0,0
20210411,0.25,노량진,14.5,7.3,9.1,2.925,0.048,2.2,0,0
20210411,0.208333333,탄천,15.6,6.9,5.7,7.98,0.08,4.2,0,0
20210411,0.208333333,중랑천,16.3,7.3,6.6,5.8,0.14,4.6,0,0
20210411,0.208333333,안양천,15.2,6.9,5,9.94,0.17,5.5,0,0
